fecha,tienda,producto,precio_unitario,cantidad
2025-02-02,Figueroa and Sons,Portátil,98.77,3
2024-09-02,"Garcia, Yang and Gardner",Móvil,485.26,1
2025-01-15,Johnson and Sons,Portátil,1201.46,1
2024-09-06,"Johnson, Gonzalez and Santos",Portátil,232.71,2
2024-12-29,Cole LLC,Portátil,1144.43,5
2025-04-05,Blake and Sons,Accesorio,479.86,5
2025-02-23,Ramirez-Lewis,Tablet,1628.39,1
2025-03-19,Davis Inc,Móvil,1411.37,3
2024-10-22,Munoz-Roman,Tablet,353.19,3
2025-03-07,"Martinez, Nielsen and Miller",Portátil,230.85,1
2024-09-28,"Montgomery, Hensley and Ray",Tablet,1702.61,5
2025-02-25,Stanley LLC,Tablet,1623.9,4
2025-06-08,Delacruz Group,Portátil,1947.58,4
2024-09-22,"Flowers, Martin and Kelly",Portátil,1126.48,5
2025-02-13,"Zuniga, Wong and Lynch",Tablet,1175.84,1
2024-08-14,"Sanchez, Ford and Nelson",Portátil,1339.46,3
2025-05-17,"Hawkins, Cohen and Cameron",Portátil,1717.87,1
2025-03-24,Underwood LLC,Accesorio,592.05,3
2024-11-06,Clark PLC,Móvil,771.85,2
2025-04-29,Lewis-Porter,Tablet,1418.55,1
2025-05-02,"Ellis, Baker and Wright",Móvil,1091.57,2
2025-01-04,Burgess-Patterson,Móvil,951.41,3
2025-01-12,Robinson-Bright,Móvil,1385.0,1
2024-12-16,Campos Inc,Móvil,1652.52,3
2024-08-07,Conner Group,Accesorio,572.09,2
2025-01-17,James-Ferrell,Tablet,464.62,4
2024-12-23,"Valencia, Smith and Le",Accesorio,1775.13,4
2025-02-17,"Potter, Mack and Peterson",Móvil,566.52,2
2024-09-28,Chavez Ltd,Tablet,1506.68,4
2025-04-29,Stanton-Gill,Accesorio,755.89,2
2024-12-15,Harrell LLC,Accesorio,227.27,1
2025-04-17,"Lynch, Hernandez and Farmer",Portátil,348.04,2
2024-12-27,"Sellers, George and Burns",Accesorio,1213.0,4
2024-07-23,Koch-Decker,Accesorio,1211.98,4
2024-10-03,Allen PLC,Tablet,1943.6,1
2025-05-25,Dennis Inc,Portátil,1379.34,5
2025-06-05,"Cannon, Anderson and Alvarez",Tablet,1548.77,3
2024-12-31,Rose-Obrien,Portátil,622.33,2
2025-05-31,"Campos, Vaughn and Marquez",Accesorio,56.33,3
2024-11-06,"Santos, Kim and Holmes",Móvil,1039.98,1
2024-07-27,Brown Inc,Tablet,1691.26,5
2025-01-14,Chapman Inc,Móvil,348.04,2
2024-07-08,"Brown, Jones and Johnson",Portátil,1217.94,4
2024-10-11,"Young, Caldwell and Lewis",Portátil,268.14,3
2024-07-31,"Johnston, Sanchez and Kennedy",Tablet,516.93,2
2024-11-08,Davis Group,Portátil,217.02,4
2024-10-20,Owens-Daniel,Portátil,1957.07,5
2025-02-14,"Garcia, Powell and Morgan",Móvil,300.36,4
2025-04-24,Lee PLC,Móvil,566.86,5
2024-11-24,White-Ford,Accesorio,1930.51,5
2025-04-29,Ramos PLC,Móvil,1440.25,4
2024-07-18,"Kidd, Huff and Novak",Tablet,904.3,5
2025-05-18,Martin Group,Accesorio,285.96,2
2024-12-06,Barrera-Martin,Portátil,709.27,5
2024-06-13,Baker-Bowers,Móvil,1197.46,1
2024-11-26,Horton-Cross,Portátil,1430.29,1
2025-03-26,"Higgins, Moore and Phillips",Móvil,181.43,1
2025-06-02,"Fitzgerald, Brown and Edwards",Tablet,188.17,2
2024-07-01,Shaw-Farrell,Tablet,1354.51,2
2024-08-09,"Miller, Lopez and Larson",Móvil,1460.54,5
2025-02-15,Powell PLC,Accesorio,523.84,4
2024-09-11,"Williams, Miller and Sandoval",Accesorio,421.3,1
2025-01-05,Donovan-Harris,Accesorio,740.88,4
2025-03-02,Baker and Sons,Accesorio,1734.48,1
2025-02-13,Bryant-Hickman,Portátil,168.19,3
2025-05-21,Ellis PLC,Portátil,534.88,2
2025-06-12,Medina PLC,Accesorio,323.36,2
2024-09-18,Ibarra-Suarez,Tablet,952.12,1
2024-10-26,Kim PLC,Accesorio,1625.64,5
2025-02-25,"Riggs, Roman and Rice",Portátil,148.65,5
2025-02-12,"Evans, Alvarado and Mcmillan",Portátil,1939.54,2
2024-08-01,Preston Ltd,Móvil,842.51,4
2025-01-01,Campbell-Clark,Móvil,1736.07,1
2024-10-16,"Walters, Baker and Freeman",Móvil,789.0,4
2025-05-10,Davis Group,Tablet,1856.71,4
2025-04-12,Smith and Sons,Tablet,874.86,5
2025-02-01,Martin-Ramos,Accesorio,351.85,3
2025-02-26,"Smith, Jones and Ware",Móvil,1938.98,5
2025-05-09,"Johnson, Wood and Tran",Portátil,1508.55,1
2024-11-17,Parker Inc,Portátil,1189.15,5
2025-05-08,Fleming Ltd,Móvil,160.92,5
2024-07-20,"Henson, Russell and Oliver",Portátil,1710.12,1
2024-08-08,Hancock and Sons,Portátil,1366.66,2
2025-05-01,White LLC,Accesorio,283.78,5
2025-03-26,Pham-Shields,Móvil,1178.89,1
2025-04-05,Moore-Haynes,Portátil,867.49,5
2024-10-31,Garrison and Sons,Tablet,1872.68,2
2024-08-25,Bailey-Hoover,Tablet,515.44,4
2025-04-27,Johnson and Sons,Móvil,1359.8,3
2024-11-05,Lin-Rasmussen,Accesorio,666.55,1
2024-09-23,"Hicks, Frazier and Anthony",Portátil,943.66,5
2024-10-12,Wilson LLC,Portátil,192.86,2
2024-08-17,Johnson-Carlson,Tablet,308.29,3
2024-10-17,Graham-Joyce,Portátil,1764.58,3
2024-07-25,"Lee, Williams and Graham",Tablet,357.61,5
2024-12-20,"Mcdaniel, Bentley and Mclaughlin",Tablet,1242.77,5
2024-08-24,Jones-Beck,Portátil,1352.33,5
2024-10-11,Alvarado-Martinez,Tablet,1866.92,1
2025-05-08,"Parker, Ortiz and Powell",Móvil,565.71,1
2024-09-29,Lee Ltd,Móvil,581.08,5
2025-05-23,"Adkins, Thompson and Carroll",Móvil,1449.34,2
2024-11-08,Torres and Sons,Tablet,1035.55,3
2024-11-17,"Lawson, Morris and Ramos",Portátil,229.98,4
2025-02-15,"Kennedy, Santana and Flynn",Tablet,135.97,3
2024-08-14,Campbell Ltd,Móvil,1292.37,3
2025-01-30,Davis-Crane,Móvil,1495.4,5
2024-09-06,Walker-Gonzalez,Accesorio,1143.77,1
2024-06-21,Riggs PLC,Portátil,1892.85,2
2025-04-20,Gibson Ltd,Portátil,1677.46,5
2025-01-09,"Horton, Snyder and Sanchez",Móvil,888.08,1
2025-02-08,Stafford Inc,Tablet,761.07,1
2025-03-24,Thompson Ltd,Tablet,459.65,2
2024-12-19,Grant Inc,Portátil,739.67,5
2024-11-27,Contreras-Travis,Accesorio,1948.98,2
2025-01-16,Salazar-Ball,Móvil,1735.98,2
2024-12-14,"Griffin, Moore and Hensley",Accesorio,98.33,3
2024-11-24,Larsen LLC,Accesorio,1614.36,2
2025-03-20,"Washington, Allen and Gonzales",Tablet,360.44,1
