tienda,ventas_totales
Smith Ltd,70556.31
Johnson and Sons,59849.80999999999
Jones and Sons,55247.229999999996
Johnson Inc,54167.72
Smith and Sons,42667.79
Brown LLC,41856.42
Williams Inc,40110.520000000004
Williams Group,37937.82
Davis Inc,32317.73
Smith LLC,32258.99
Davis Group,32074.41
Harris and Sons,31563.839999999997
Miller PLC,30325.68
Taylor Inc,30303.78
Williams LLC,29052.32
Rodriguez PLC,28068.19
Jones Group,26763.43
Brown Group,25795.989999999994
Smith PLC,24564.110000000004
Sanchez Group,24537.640000000007
Jones Inc,24513.680000000004
Johnson LLC,24486.130000000005
Wilson Inc,24370.120000000003
Hernandez LLC,23796.94
Davis LLC,23665.539999999997
Martinez LLC,23000.18
Davis and Sons,22912.1
Rodriguez Inc,22377.06
Nelson LLC,22352.100000000002
Jones Ltd,22259.78
Rodriguez LLC,22173.78
Jones LLC,21852.9
Hughes Group,21519.66
Smith Group,21467.980000000003
Davis PLC,21237.05
Martinez Inc,21179.58
Flores Group,20775.8
King LLC,20614.609999999997
Martinez and Sons,20473.82
Robinson and Sons,20192.1
Diaz and Sons,19949.729999999996
Bailey Group,19939.68
Lee Ltd,19801.480000000003
Wilson LLC,19579.62
Scott Inc,19296.61
Gonzalez Group,19082.28
Brown Inc,19053.27
Edwards Group,18955.12
Hudson Group,18346.210000000003
Watson and Sons,18310.1
Gonzales PLC,17839.339999999997
Smith Inc,17801.410000000003
Nelson Group,17801.059999999998
Williams and Sons,17693.979999999996
Gibson Ltd,17525.219999999998
White Group,17420.28
Miller and Sons,17339.25
Gonzalez and Sons,17251.4
Lopez Group,17225.35
Harper and Sons,17212.62
Thompson PLC,17081.25
Hernandez Ltd,16896.010000000002
Dominguez Group,16875.219999999998
Green LLC,16859.64
Thomas PLC,16857.93
Lee PLC,16830.84
Johnson Group,16636.62
Johnson Ltd,16635.780000000002
Carter Inc,16604.33
Jackson Group,16553.25
Brown Ltd,16541.43
Hernandez PLC,16510.43
Wells Inc,16434.22
Cole LLC,16409.870000000003
Davis Ltd,16389.01
Taylor and Sons,15917.060000000001
Rodriguez and Sons,15813.190000000002
Harris PLC,15812.43
Gonzalez LLC,15674.81
Hernandez and Sons,15644.320000000002
Thomas Inc,15633.31
Young Inc,15468.61
Miller LLC,15352.14
Stevenson Inc,15327.01
Guerra LLC,15274.650000000001
Taylor Ltd,15247.810000000001
Johnson-Young,15171.84
Robinson LLC,15098.3
Garcia PLC,15035.529999999999
Sandoval Ltd,15003.169999999998
Price Inc,14751.46
Ramirez Ltd,14713.48
Bowman Group,14646.23
Patterson Group,14630.71
Johnson PLC,14557.28
Robinson PLC,14540.98
Lee and Sons,14500.619999999999
Murray Group,14424.94
Chavez and Sons,14380.4
Bishop and Sons,14324.220000000001
Brown and Sons,14270.2
White Inc,14071.57
Boyd Ltd,14049.34
Hill Inc,14029.279999999999
Jackson LLC,14014.130000000001
Patton LLC,14002.61
Anderson Ltd,13967.419999999998
Clark Ltd,13933.23
Rivera Inc,13886.949999999999
Davis-Scott,13853.95
Flores PLC,13794.009999999998
Nguyen Group,13778.01
Myers and Sons,13551.99
Hines PLC,13455.070000000002
Lopez LLC,13445.73
Martin Ltd,13435.39
Cook Inc,13360.390000000001
Phillips LLC,13121.529999999999
Pratt LLC,12992.53
Kelley Group,12719.0
Morgan Inc,12713.220000000001
Bender LLC,12698.779999999999
Allen-Smith,12662.18
White Ltd,12533.970000000001
Robertson LLC,12471.869999999999
Alvarez and Sons,12464.02
Lawrence PLC,12426.599999999999
Thomas and Sons,12402.66
Rodriguez Ltd,12393.23
Moore and Sons,12385.33
Wells Group,12382.73
Martinez PLC,12322.810000000001
Thomas LLC,12213.269999999999
Harris Group,12211.16
Sullivan LLC,12179.369999999999
Hoffman Group,12157.300000000001
White PLC,12120.96
Hall and Sons,12088.720000000001
Webb Ltd,12079.970000000001
Sullivan PLC,12056.54
Adams and Sons,12012.23
Martin Group,11932.66
Martin LLC,11853.54
Murray Inc,11848.15
Price LLC,11717.560000000001
Smith-Peterson,11707.599999999999
Anderson and Sons,11663.369999999999
Walker LLC,11637.43
Hawkins Inc,11463.22
Parks PLC,11396.2
Holmes LLC,11364.119999999999
Smith-Wilson,11357.05
Alexander PLC,11301.82
Simmons Inc,11293.32
Fernandez Inc,11288.55
Harrison PLC,11223.26
Walker Inc,11210.74
West Inc,11206.32
Schroeder PLC,11133.96
Anderson Inc,11094.85
Brown PLC,11089.560000000001
Garcia Inc,11081.27
Lynch Inc,11073.48
Diaz-Morales,11042.43
Jackson and Sons,11017.98
Cunningham Group,11010.66
Miller Ltd,10978.21
Stevens and Sons,10931.710000000001
Black PLC,10873.05
Trujillo PLC,10801.45
Hamilton Inc,10796.41
Hudson PLC,10779.42
Johnson-Martin,10760.810000000001
Castaneda PLC,10742.47
Kennedy LLC,10712.18
Frazier Ltd,10710.2
Hamilton Group,10684.46
Thompson and Sons,10683.61
Perez and Sons,10594.89
Wright and Sons,10565.779999999999
Hancock and Sons,10548.42
James PLC,10521.2
Williams Ltd,10513.970000000001
Scott-Jacobs,10489.99
Mitchell and Sons,10461.269999999999
Flores Inc,10461.18
Stanley LLC,10416.77
Benson and Sons,10411.900000000001
Smith-Brooks,10400.71
Lee Group,10396.84
Porter Group,10384.26
Lyons Ltd,10356.82
Murphy Inc,10350.36
Robinson Group,10344.6
Hernandez Inc,10336.75
Porter Ltd,10297.31
Wilson Ltd,10279.900000000001
Beck and Sons,10257.4
Erickson LLC,10254.880000000001
Fowler Inc,10240.29
Wilson Group,10235.92
Harrison Group,10211.33
Chang PLC,10207.509999999998
Walker and Sons,10151.55
Anderson Group,10115.18
Hoffman PLC,10108.79
Bartlett PLC,10075.21
King Ltd,10073.71
"Page, Snyder and Gonzalez",9979.400000000001
Graham Ltd,9976.65
"Johnson, Jones and Welch",9967.15
Collier-Brooks,9963.300000000001
Huffman-Taylor,9950.449999999999
"Hopkins, Kane and Collins",9950.3
Logan-Nelson,9943.7
Blair LLC,9943.65
"Taylor, Bond and Dunn",9935.95
"Robertson, Sandoval and Whitney",9933.6
Haley LLC,9929.349999999999
Forbes Ltd,9922.97
"Barton, Graves and Rodriguez",9907.4
Collins-Huynh,9902.8
Hansen-Garcia,9895.699999999999
Hayden Inc,9893.95
White LLC,9893.86
"Rivera, Ortega and Rose",9891.5
Bonilla-Porter,9891.1
Beck Inc,9891.0
"Arnold, Vargas and Ramirez",9886.75
Wright-Marks,9884.7
Jones-Barnes,9878.35
Perkins-Thompson,9876.5
Everett Inc,9840.4
Stein LLC,9838.2
Green PLC,9836.64
Solomon Group,9819.45
Shaffer-Yates,9804.3
Davis-Henderson,9803.0
Zimmerman-Marsh,9799.9
Pena Group,9792.35
Owens-Daniel,9785.35
Gonzales Group,9775.2
Gonzalez-Miller,9770.95
"Goodman, Patton and Peterson",9766.45
Burke and Sons,9763.9
Alexander Ltd,9761.24
Lewis and Sons,9758.92
"Skinner, Taylor and Villarreal",9758.45
White-Murphy,9756.35
Hart LLC,9753.55
Silva LLC,9747.98
Campbell Inc,9725.55
"Duarte, Lee and Matthews",9724.5
"Hunter, Flores and Long",9718.45
"Hernandez, Hernandez and Swanson",9717.9
Murphy and Sons,9716.74
"Jones, Clarke and Obrien",9716.25
Melton LLC,9711.86
Hatfield-Knox,9709.15
"Smith, Jones and Ware",9694.9
"Little, Leon and Hicks",9691.900000000001
"Allison, Sutton and Vasquez",9687.45
"Norton, Mayo and Casey",9685.9
Woods and Sons,9678.89
Sims-Washington,9674.9
Downs Group,9674.45
"Peterson, Reid and Johnson",9671.35
"Parks, Marquez and Tran",9663.150000000001
Matthews LLC,9662.9
Taylor-Lamb,9659.550000000001
Duncan LLC,9656.88
White-Ford,9652.55
"Mcintyre, Molina and Collins",9650.4
Phelps LLC,9647.35
Reyes Ltd,9646.02
Hill Ltd,9638.79
Reed-Nguyen,9634.9
"Miller, Livingston and Duran",9634.15
Arellano-Lawrence,9624.3
Oneal LLC,9604.15
Quinn-Wallace,9597.7
Williams-Stevenson,9593.4
Harris-Hernandez,9590.650000000001
Nielsen Ltd,9586.35
Castro-Robbins,9584.6
"Trevino, Ramirez and Campbell",9583.150000000001
Hawkins-Jones,9580.650000000001
"Ray, Collins and Wilson",9576.05
Cabrera Inc,9574.85
"Harrison, Ingram and Waller",9573.55
Kelley LLC,9573.099999999999
"Blair, Bartlett and May",9562.9
Tucker-Jones,9559.349999999999
Gill Group,9555.8
Young Ltd,9555.47
Walter Inc,9554.28
Nash Ltd,9546.2
"Buck, Garrett and Simmons",9545.7
Parker Inc,9537.07
Costa-Dawson,9536.849999999999
Frank and Sons,9536.39
Orr-Gordon,9534.9
"Thomas, Becker and Mills",9530.449999999999
"Collins, Johnson and Lloyd",9528.65
Simmons-Mcdaniel,9527.050000000001
Kramer-Griffith,9526.699999999999
Nolan-Jenkins,9521.3
"Thompson, Smith and Jackson",9519.7
"Andrews, Tucker and Vargas",9515.5
Campbell Ltd,9509.02
Velazquez-Wheeler,9493.05
"Adams, Hernandez and Butler",9489.400000000001
Chan-Gomez,9488.7
Jones PLC,9475.089999999998
Bennett Ltd,9455.74
"Rosario, Ortiz and Miller",9449.6
Jordan LLC,9446.58
Ramirez-Holloway,9443.300000000001
"Medina, Trujillo and Church",9432.75
"Best, Humphrey and Pittman",9426.35
Peterson-Green,9421.8
Molina PLC,9400.2
Rogers-Stafford,9370.3
Salazar and Sons,9363.099999999999
Phillips-Riddle,9354.75
Turner-Stout,9350.35
Reed Group,9346.89
Walker PLC,9335.68
Maynard-Martin,9331.25
"Bradford, Lee and Coleman",9326.699999999999
"Willis, Miller and Duffy",9324.8
Davis-Cook,9320.5
"Porter, Jones and Jackson",9316.2
